Participant,Technique,Width,Amplitude,Time,Correct

Mouse, 0.5, 5, 0, 1
Mouse, 0.5, 5, 1.3787383, 1
Mouse, 0.5, 5, 0.7743797, 1
Mouse, 0.5, 5, 1.0332676, 1
Mouse, 0.5, 5, 0.6795788, 1
Mouse, 0.5, 5, 1.0388612, 1
Mouse, 0.5, 5, 0.6627372, 1
Mouse, 0.5, 5, 0.7532162, 1
Mouse, 0.5, 5, 1.1265526, 1
Mouse, 0.5, 5, 0.3531312, 0
Mouse, 0.5, 5, 0.4149531, 0
Mouse, 0.5, 5, 0.4650174, 1
Mouse, 0.5, 5, 0.638082, 0
Mouse, 0.5, 5, 0.6574271, 1
Mouse, 0.5, 5, 0.4299775, 0
Mouse, 0.5, 5, 0.5268788, 1
Mouse, 0.5, 5, 0.345551, 0
Mouse, 0.5, 5, 0.4962242, 1
Mouse, 0.5, 5, 0.5591569, 0
Mouse, 0.5, 5, 0.4481205, 1
